itemId,title,globalId,primaryCategory/categoryId,primaryCategory/categoryName,galleryURL,viewItemURL,paymentMethod/0,autoPay,postalCode,location,country,shippingInfo/shippingServiceCost/_,shippingInfo/shippingServiceCost/$/currencyId,shippingInfo/shippingType,shippingInfo/shipToLocations,sellingStatus/currentPrice/_,sellingStatus/currentPrice/$/currencyId,sellingStatus/convertedCurrentPrice/_,sellingStatus/convertedCurrentPrice/$/currencyId,sellingStatus/bidCount,sellingStatus/sellingState,sellingStatus/timeLeft,listingInfo/bestOfferEnabled,listingInfo/buyItNowAvailable,listingInfo/startTime,listingInfo/endTime,listingInfo/listingType,listingInfo/gift,listingInfo/watchCount,distance/_,distance/$/unit,condition/conditionId,condition/conditionDisplayName,isMultiVariationListing,topRatedListing,eBayPlusEnabled,paymentMethod/1,paymentMethod/2,paymentMethod/3,galleryPlusPictureURL,listingInfo/buyItNowPrice/_,listingInfo/buyItNowPrice/$/currencyId,listingInfo/convertedBuyItNowPrice/_,listingInfo/convertedBuyItNowPrice/$/currencyId,productId/_,productId/$/type,paymentMethod/4,subtitle
284097005301,"ASUS ZenBook UX305CA-FC022T (13.3 Zoll, 250GB SSD, 8GB RAM) Windows 10 OVP",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs2.ebaystatic.com/m/m4Iy-x1-kQnIqrI_XRPquEg/140.jpg,https://www.ebay.de/itm/ASUS-ZenBook-UX305CA-FC022T-13-3-Zoll-250GB-SSD-8GB-RAM-Windows-10-OVP-/284097005301,PayPal,false,315**,"Wunstorf,Deutschland",DE,7.59,EUR,Flat,Worldwide,103.0,EUR,103.0,EUR,32,Active,P0DT4H23M0S,false,false,2020-11-28T18:48:55.000Z,2020-12-05T18:48:55.000Z,Auction,false,44,40.0,km,3000,Gebraucht,false,false,false,,,,,,,,,,,,
224249196650,"Apple MacBook Pro 15"" (2014) Core i7 2,2 GHz - Silber 256 GB SSD 16 GB #Akzep...",EBAY-DE,111422,Apple Notebooks,https://thumbs3.ebaystatic.com/m/mBG7vxd05TxBiXYxzOpRNzQ/140.jpg,https://www.ebay.de/itm/Apple-MacBook-Pro-15-2014-Core-i7-2-2-GHz-Silber-256-GB-SSD-16-GB-Akzep-/224249196650,CashOnPickup,false,595**,"Bad Sassendorf,Deutschland",DE,0.0,EUR,Free,Worldwide,649.0,EUR,649.0,EUR,,Active,P19DT19H32M21S,false,false,2020-11-25T09:58:16.000Z,2020-12-25T09:58:16.000Z,FixedPrice,false,2,100.0,km,2500,Vom Verkäufer generalüberholt,false,true,false,,,,,,,,,,,,
293868221520,"HP 250 G6 Intel core i5 7th Gen 39,6 cm (15,6”)",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs1.ebaystatic.com/m/mZRLhRmTR2v8OtcQXMaV54A/140.jpg,https://www.ebay.de/itm/HP-250-G6-Intel-core-i5-7th-Gen-39-6-cm-15-6-/293868221520,CIPInCheckoutEnabled,false,308**,"Garbsen,Deutschland",DE,5.99,EUR,Flat,Worldwide,114.0,EUR,114.0,EUR,9,Active,P1DT0H34M43S,false,false,2020-12-01T15:00:38.000Z,2020-12-06T15:00:38.000Z,Auction,false,50,50.0,km,2500,Vom Verkäufer generalüberholt,false,false,false,CashOnPickup,MoneyXferAccepted,,,,,,,,,,
193756999788,"Lenovo V110-14IAP Pentium N4200 Quad Core 8GB RAM 128GB SSD 14"" Display Laptop",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs1.ebaystatic.com/m/m0kLqYC_l_VQdLxLbiffIWQ/140.jpg,https://www.ebay.de/itm/Lenovo-V110-14IAP-Pentium-N4200-Quad-Core-8GB-RAM-128GB-SSD-14-Display-Laptop-/193756999788,CIPInCheckoutEnabled,false,308**,"Laatzen,Deutschland",DE,0.0,EUR,Free,Worldwide,195.0,EUR,195.0,EUR,,Active,P13DT19H31M6S,true,false,2020-11-19T09:57:01.000Z,2020-12-19T09:57:01.000Z,FixedPrice,false,5,70.0,km,3000,Gebraucht,false,false,false,CashOnPickup,PayPal,MoneyXferAccepted,,,,,,,,,
362429994608,"Lenovo Thinkpad T530 Intel i5 2,5Ghz 4Gb 320Gb 15.6"" 1600x900 Win7Pro DVD J74 B",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs1.ebaystatic.com/m/m0-4oBOHVAD73XVbeV0VOyA/140.jpg,https://www.ebay.de/itm/Lenovo-Thinkpad-T530-Intel-i5-2-5Ghz-4Gb-320Gb-15-6-1600x900-Win7Pro-DVD-J74-B-/362429994608,PayPal,true,301**,"Hannover,Deutschland",DE,0.0,EUR,Free,Worldwide,299.0,EUR,299.0,EUR,,Active,P0DT19H33M28S,false,false,2018-09-06T09:59:23.000Z,2020-12-06T09:59:23.000Z,StoreInventory,false,45,60.0,km,3000,Gebraucht,false,false,false,,,,,,,,,,,,
363126380738,"Dell Precision 5510 i7 4x2.7 16GB 512GB SSD 15.6"" 4K 3840x2160 Touch Win 10 /AB",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs3.ebaystatic.com/m/m31_RiM-kUXm0-UiWrgt1lQ/140.jpg,https://www.ebay.de/itm/Dell-Precision-5510-i7-4x2-7-16GB-512GB-SSD-15-6-4K-3840x2160-Touch-Win-10-AB-/363126380738,PayPal,true,301**,"Hannover,Deutschland",DE,0.0,EUR,Free,Worldwide,899.0,EUR,899.0,EUR,,Active,P26DT22H41M4S,false,false,2020-10-01T13:06:59.000Z,2021-01-01T13:06:59.000Z,StoreInventory,false,20,60.0,km,3000,Gebraucht,false,false,false,,,,,,,,,,,,6.GENERATION - A WARE - PROFI HÄNDLER - RECHNUNG
114536231983,"Microsoft Surface Book 1703 13"" i5-6300U 2.4GHz 8GB 128GB SSD Win 10 Pro B-Ware",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs4.ebaystatic.com/m/mMfpyxA2ZMxugF_q5ZYqSPQ/140.jpg,https://www.ebay.de/itm/Microsoft-Surface-Book-1703-13-i5-6300U-2-4GHz-8GB-128GB-SSD-Win-10-Pro-B-Ware-/114536231983,CIPInCheckoutEnabled,false,593**,"Ennigerloh,Deutschland",DE,0.0,EUR,Free,Worldwide,449.9,EUR,449.9,EUR,,Active,P17DT19H39M7S,false,false,2020-11-23T10:05:02.000Z,2020-12-23T10:05:02.000Z,FixedPrice,false,34,80.0,km,2500,Vom Verkäufer generalüberholt,false,true,true,CashOnPickup,PayPal,MoneyXferAccepted,,,,,,,,,
284099690934,"ASUS ZenBook Flip UX360UA Intel Core i7 7500U 2,70GHz 256GB SSD 8GB RAM TOUCH",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs3.ebaystatic.com/m/mqmS3nGPchftl7SskyCzH6w/140.jpg,https://www.ebay.de/itm/ASUS-ZenBook-Flip-UX360UA-Intel-Core-i7-7500U-2-70GHz-256GB-SSD-8GB-RAM-TOUCH-/284099690934,CashOnPickup,false,328**,"Schieder-Schwalenberg,Deutschland",DE,0.0,EUR,Free,Worldwide,399.0,EUR,399.0,EUR,,Active,P26DT19H20M10S,true,false,2020-12-01T09:46:05.000Z,2021-01-01T09:46:05.000Z,FixedPrice,false,3,50.0,km,2500,Vom Verkäufer generalüberholt,false,true,true,,,,,,,,,,,,
164548198773,apple macbook a1342,EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs2.ebaystatic.com/m/mFZubwFCD1sOJgaKSt-DRVQ/140.jpg,https://www.ebay.de/itm/apple-macbook-a1342-/164548198773,CashOnPickup,false,494**,"Ibbenbüren,Deutschland",DE,0.0,EUR,Free,Worldwide,120.0,EUR,120.0,EUR,0,Active,P1DT20H32M11S,true,false,2020-11-30T10:58:06.000Z,2020-12-07T10:58:06.000Z,Auction,false,,80.0,km,3000,Gebraucht,false,false,false,,,,,,,,,,,,
324329307893,HP EliteBook 840 G4 Full HD i5-7200U 8 GB RAM 128 GB SSD CAM 2. Wahl,EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs2.ebaystatic.com/m/m53SIa4YLI4Bu106yewDnvw/140.jpg,https://www.ebay.de/itm/HP-EliteBook-840-G4-Full-HD-i5-7200U-8-GB-RAM-128-GB-SSD-CAM-2-Wahl-/324329307893,CashOnPickup,false,491**,"Bad Iburg,Deutschland",DE,25.0,EUR,Flat,Worldwide,375.0,EUR,375.0,EUR,,Active,P5DT23H11M10S,true,false,2020-10-11T13:37:05.000Z,2020-12-11T13:37:05.000Z,StoreInventory,false,28,60.0,km,2500,Vom Verkäufer generalüberholt,false,true,false,,,,,,,,,,,,
